Complex_Number,Phase
(-0.496622654829741-0.28133325895841566j),-2.626175108860217
(0.7021907881220848+0.4092489850958074j),0.5276893910326643
(-0.49642369790488416-0.2975449138572692j),-2.60163141625405
0j,0.0
(0.4962189652465163+0.31422719423721546j),0.5645049299419147
(-0.7016115354189161-0.45644837224863366j),-2.5648158773447904
(0.49600794371682255+0.3314219122298603j),0.5890486225480883
0j,0.0
(-0.49579007249953655-0.3491747649622141j),-2.528000338435538
(0.7009950853167481+0.506678723998526j),0.6258641614573422
(-0.49556473668000933-0.3675358576718857j),-2.503456645829367
0j,0.0
(0.4953312598140318+0.3865603092249117j),0.6626797003666015
(-0.700334449271022-0.5605094896016745j),-2.4666411069201115
(0.4950888952901842+0.40630895593944416j),0.6872233929727656
0j,0.0
(-0.4948368162466643-0.4268491731934141j),-2.4298255680108523
(0.6996211374806194+0.6186324455609302j),0.7240389318820233
(-0.494574103748306-0.44825583880246j),-2.4052818754046843
0j,0.0
(0.49429973285907636+0.47061246787496813j),0.7608544707912817
(-0.6988446941714521-0.6818995622289776j),-2.3684663364954286
(0.49401255615596895+0.4940125561559725j),0.7853981633974519
0j,0.0
(-0.4937112841146707-0.5185611782648962j),-2.3316507975861764
(0.6979920543274254+0.7513754194496194j),0.8222137023067008
(-0.4933944616482684-0.5443768993974167j),-2.307107104980003
0j,0.0
(0.49306043988535464+0.571594074939199j),0.859029241215961
(-0.6970466354746563-0.8284112109256689j),-2.2702915660707523
(0.49270734201738975+0.6003656333312684j),0.8835729338221278
0j,0.0
(-0.4923330217050399-0.6308664652565668j),-2.2334760271615
(0.6959870269618165+0.9147515459018294j),0.9203884727313864
(-0.49193501207721013-0.6632975793653237j),-2.2089323345553225
0j,0.0
(0.4915104627396616+0.6978912350162183j),0.9572040116406406
(-0.6947850511735894-1.0126924277762122j),-2.1721167956460667
(0.4910560613667805+0.734917331233337j),0.9817477042468075
0j,0.0
(-0.49056793528358966-0.7746914261207216j),-2.1353012567368137
(0.6934028142279658+1.1253215728388888j),1.018563243156069
(-0.4900415268122629-0.8175848940365107j),-2.110757564130641
0j,0.0
(0.4894714338405848+0.8640379165876197j),1.0553787820653269
(-0.691788072343499-1.2568959736823828j),-2.0739420252213834
(0.48885120373657287+0.9145762751359818j),1.0799224746714953
0j,0.0
(-0.4881730638610833-0.9698333095048142j),-2.037126486312134
(0.6898666726634985+1.4134578453403215j),1.116738013580752
(-0.4874275646879198-1.0305789977051596j),-2.0125827937059597
0j,0.0
(0.48660310057412204+1.0977590051318593j),1.1535535524899991
(-0.687529659145639-1.6038852791812843j),-1.975767254796696
(0.4856852562736407+1.1725479327404607j),1.178097245096168
0j,0.0
(-0.484655900497728-1.256423176686912j),-1.9389517158874534
(0.6846100641290178+1.8417833412281155j),1.2149127840054257
(-0.4834919044059873-1.3512693498295931j),-1.9144080232812815
0j,0.0
(0.4821632905472484+1.459529112022551j),1.2517283229146845
(-0.6808382777336703-2.1491207180882057j),-1.8775924843720269
(0.48063049330181684+1.5844263981601792j),1.2762720155208536
0j,0.0
(-0.4788401899992323-1.7303061122062964j),-1.8407769454627632
(0.6757487304041518+2.5638335256824796j),1.3130875544301042
(-0.4767187498283647-1.9031679312339342j),-1.8162332528565996
0j,0.0
(0.47416154522801435+2.1115372479411825j),1.3499030933393659
(-0.6684621533723316-3.1575674322489j),-1.779417713947344
(0.4710147183892701+2.3679508951309387j),1.3744467859455367
0j,0.0
(-0.46704236097271234-2.6916314486916484j),-1.7426021750380918
(0.6570945727565345+4.0838347341309955j),1.411262324854796
(-0.4618633981949074-3.1136301167342992j),-1.7180584824319136
0j,0.0
(0.4548196192084504+3.68758005185191j),1.448077863764042
(-0.6367478913380751-5.741748263558414j),-1.6812429435226606
(0.4446677480082428+4.514787411402152j),1.4726215563702187
0j,0.0
(-0.42874363591826636-5.812335661907406j),-1.6444274046134086
(0.589462800322849+9.594690692940947j),1.5094370952794718
(-0.4001205160798804-8.144640211157494j),-1.6198837120072351
0j,0.0
(0.333400275953295+13.581221564039634j),1.5462526341887193
(-0.3536066404478788-28.813014822235786j),-1.5830681730979854
40.747756334462906j,1.5707963267948966
(0.5553882477088337-45.254833995939045j),-1.5585244804918081
(-1+40.73548387208328j),1.595340019401067
(1.0606069219252277-28.795658939494913j),-1.5339807878856444
(-0.666599724046705+13.568949101660067j),1.61988371200723
0j,0.0
(0.5998794839201196-8.13236774877791j),-1.4971652489763838
(-0.8247507620502574+9.57733481020005j),1.6566992509164944
(0.5712563640817336-5.800063199527845j),-1.472621556370217
0j,0.0
(-0.5553322519917572+4.50251494902259j),1.6935147898257508
(0.7774656710350314-5.724392380817513j),-1.435806017460956
(-0.5451803807915496+3.675307589472343j),1.7180584824319145
0j,0.0
(0.5381366018050926-3.1013576543547394j),-1.3989904785517002
(-0.757118989616572+4.0664788513900945j),1.7548740213411824
(0.5329576390273019-2.679358986312085j),-1.374446785945533
0j,0.0
(-0.5289852816107157+2.3556784327513647j),1.791689560250425
(0.7457514090007749-3.1402115495080025j),-1.3376312470362763
(-0.5258384547719857+2.099264785561619j),1.8162332528566005
0j,0.0
(0.5232812501716353-1.8908954688543673j),-1.3008157081270244
(-0.7384648319689404+2.546477642941589j),1.8530487917658487
(0.5211598100007535-1.718033649826726j),-1.2762720155208545
0j,0.0
(-0.5193695066981832+1.5721539357806051j),1.8898643306751108
(0.7333752846394219-2.131764835347308j),-1.239456476611602
(-0.5178367094527516+1.4472566496429842j),1.9144080232812817
0j,0.0
(0.5165080955940198-1.3389968874500227j),-1.20264093770234
(-0.7296034982440744+1.8244274584872215j),1.951223562190533
(0.515344099502272-1.2441507143073416j),-1.1780972450961744
0j,0.0
(-0.5143147437263664+1.1602754703608902j),1.9880391010997915
