frequency, magnitude
-6.222958274893107955e+01 3.054220614184381954e-01
-6.207042780583918784e+01 3.058025797699977510e-01
-6.191127286274728903e+01 3.061874355217242827e-01
-6.175211791965539732e+01 3.065766552497531938e-01
-6.159296297656349850e+01 3.069702659235589159e-01
-6.143380803347160679e+01 3.073682949117501617e-01
-6.127465309037970798e+01 3.077707699876048308e-01
-6.111549814728780916e+01 3.081777193342885024e-01
-6.095634320419591745e+01 3.085891715498517707e-01
-6.079718826110401864e+01 3.090051556540999722e-01
-6.063803331801212693e+01 3.094257010927008444e-01
-6.047887837492022811e+01 3.098508377438752293e-01
-6.031972343182833640e+01 3.102805959250907741e-01
-6.016056848873643759e+01 3.107150063976712451e-01
-6.000141354564454588e+01 3.111541003733959143e-01
-5.984225860255264706e+01 3.115979095220860473e-01
-5.968310365946075535e+01 3.120464659772363980e-01
-5.952394871636885654e+01 3.124998023396149405e-01
-5.936479377327696483e+01 3.129579516906939030e-01
-5.920563883018506601e+01 3.134209475931722944e-01
-5.904648388709317430e+01 3.138888241007533053e-01
-5.888732894400127549e+01 3.143616157651596965e-01
-5.872817400090938378e+01 3.148393576425569940e-01
-5.856901905781748496e+01 3.153220853016689973e-01
-5.840986411472559325e+01 3.158098348320015347e-01
-5.825070917163369444e+01 3.163026428494248865e-01
-5.809155422854180273e+01 3.168005465052270431e-01
-5.793239928544990391e+01 3.173035834955864054e-01
-5.777324434235801220e+01 3.178117920672561270e-01
-5.761408939926611339e+01 3.183252110265606394e-01
-5.745493445617422168e+01 3.188438797500641742e-01
-5.729577951308232286e+01 3.193678381899964225e-01
-5.713662456999043116e+01 3.198971268852941474e-01
-5.697746962689853234e+01 3.204317869702105748e-01
-5.681831468380664063e+01 3.209718601834457563e-01
-5.665915974071474182e+01 3.215173888769874977e-01
-5.650000479762285011e+01 3.220684160273146190e-01
-5.634084985453095129e+01 3.226249852432084841e-01
-5.618169491143905958e+01 3.231871407774020155e-01
-5.602253996834716077e+01 3.237549275366577994e-01
-5.586338502525526906e+01 3.243283910901565981e-01
-5.570423008216337024e+01 3.249075776839031593e-01
-5.554507513907147853e+01 3.254925342494663365e-01
-5.538592019597957972e+01 3.260833084123770931e-01
-5.522676525288768801e+01 3.266799485074649012e-01
-5.506761030979578919e+01 3.272825035932563909e-01
-5.490845536670389748e+01 3.278910234568931381e-01
-5.474930042361199867e+01 3.285055586275236195e-01
-5.459014548052010696e+01 3.291261603934405588e-01
-5.443099053742820814e+01 3.297528808104711606e-01
-5.427183559433630933e+01 3.303857727161403912e-01
-5.411268065124441762e+01 3.310248897433918369e-01
-5.395352570815251880e+01 3.316702863333426121e-01
-5.379437076506062709e+01 3.323220177491303384e-01
-5.363521582196872828e+01 3.329801400907373976e-01
-5.347606087887683657e+01 3.336447103082079702e-01
-5.331690593578493775e+01 3.343157862174455652e-01
-5.315775099269304604e+01 3.349934265144034473e-01
-5.299859604960114723e+01 3.356776907913113783e-01
-5.283944110650925552e+01 3.363686395512024974e-01
-5.268028616341735670e+01 3.370663342253508721e-01
-5.252113122032546499e+01 3.377708371888706873e-01
-5.236197627723356618e+01 3.384822117771810190e-01
-5.220282133414167447e+01 3.392005223040361339e-01
-5.204366639104977565e+01 3.399258340787236765e-01
-5.188451144795788395e+01 3.406582134241080140e-01
-5.172535650486598513e+01 3.413977276941131955e-01
-5.156620156177409342e+01 3.421444452937614789e-01
-5.140704661868219461e+01 3.428984356981029102e-01
-5.124789167559030290e+01 3.436597694713010576e-01
-5.108873673249840408e+01 3.444285182873575435e-01
-5.092958178940651237e+01 3.452047549494971501e-01
-5.077042684631461356e+01 3.459885534130408558e-01
-5.061127190322272185e+01 3.467799888067694680e-01
-5.045211696013082303e+01 3.475791374527513189e-01
-5.029296201703893132e+01 3.483860768906505423e-01
-5.013380707394703251e+01 3.492008859013998046e-01
-4.997465213085514080e+01 3.500236445295595855e-01
-4.981549718776324198e+01 3.508544341078062567e-01
-4.965634224467135027e+01 3.516933372822058645e-01
-4.949718730157945146e+01 3.525404380380614544e-01
-4.933803235848755975e+01 3.533958217239426824e-01
-4.917887741539566093e+01 3.542595750800826004e-01
-4.901972247230376922e+01 3.551317862654392865e-01
-4.886056752921187041e+01 3.560125448851177432e-01
-4.870141258611997870e+01 3.569019420193321190e-01
-4.854225764302807988e+01 3.578000702525607757e-01
-4.838310269993618817e+01 3.587070237040811960e-01
-4.822394775684428936e+01 3.596228980575451040e-01
-4.806479281375239765e+01 3.605477905939415972e-01
-4.790563787066049883e+01 3.614818002238571193e-01
-4.774648292756860712e+01 3.624250275191881476e-01
-4.758732798447670831e+01 3.633775747484015994e-01
-4.742817304138480949e+01 3.643395459129237235e-01
-4.726901809829291778e+01 3.653110467776371495e-01
-4.710986315520101897e+01 3.662921849142548036e-01
-4.695070821210912726e+01 3.672830697334625305e-01
-4.679155326901722844e+01 3.682838125280673003e-01
-4.663239832592533674e+01 3.692945265091397977e-01
-4.647324338283343792e+01 3.703153268448287627e-01
-4.631408843974154621e+01 3.713463307108358924e-01
-4.615493349664964740e+01 3.723876573222665853e-01
-4.599577855355775569e+01 3.734394279843776254e-01
-4.583662361046585687e+01 3.745017661362766148e-01
-4.567746866737396516e+01 3.755747973951041874e-01
-4.551831372428206635e+01 3.766586496058483835e-01
-4.535915878119017464e+01 3.777534528897145139e-01
-4.520000383809827582e+01 3.788593396925843959e-01
-4.504084889500638411e+01 3.799764448381143800e-01
-4.488169395191448530e+01 3.811049055804285879e-01
-4.472253900882259359e+01 3.822448616563752233e-01
-4.456338406573069477e+01 3.833964553442157919e-01
-4.440422912263880306e+01 3.845598315188524796e-01
-4.424507417954690425e+01 3.857351377111071788e-01
-4.408591923645501254e+01 3.869225241686647387e-01
-4.392676429336311372e+01 3.881221439175043808e-01
-4.376760935027122201e+01 3.893341528264984142e-01
-4.360845440717932320e+01 3.905587096727364815e-01
-4.344929946408743149e+01 3.917959762091981490e-01
-4.329014452099553267e+01 3.930461172343255316e-01
-4.313098957790364096e+01 3.943093006635702280e-01
-4.297183463481174215e+01 3.955856976022365523e-01
-4.281267969171985044e+01 3.968754824229182021e-01
-4.265352474862795162e+01 3.981788328411793310e-01
-4.249436980553605991e+01 3.994959299968023347e-01
-4.233521486244416110e+01 4.008269585367993382e-01
-4.217605991935226939e+01 4.021721066993040883e-01
-4.201690497626037057e+01 4.035315664012772974e-01
-4.185775003316847886e+01 4.049055333292744252e-01
-4.169859509007658005e+01 4.062942070313208531e-01
-4.153944014698468834e+01 4.076977910124757187e-01
-4.138028520389278953e+01 4.091164928341382012e-01
-4.122113026080089782e+01 4.105505242143531186e-01
-4.106197531770899900e+01 4.120001011328172091e-01
-4.090282037461710729e+01 4.134654439390911818e-01
-4.074366543152520848e+01 4.149467774622958016e-01
-4.058451048843330966e+01 4.164443311272327808e-01
-4.042535554534141795e+01 4.179583390714013413e-01
-4.026620060224951914e+01 4.194890402665539808e-01
-4.010704565915762743e+01 4.210366786454039500e-01
-3.994789071606572861e+01 4.226015032301084218e-01
-3.978873577297383690e+01 4.241837682664762466e-01
-3.962958082988193809e+01 4.257837333623552545e-01
-3.947042588679004638e+01 4.274016636291504412e-01
-3.931127094369814756e+01 4.290378298293253123e-01
-3.915211600060625585e+01 4.306925085288768607e-01
-3.899296105751435704e+01 4.323659822533336139e-01
-3.883380611442246533e+01 4.340585396493225057e-01
-3.867465117133056651e+01 4.357704756538780533e-01
-3.851549622823867480e+01 4.375020916662797354e-01
-3.835634128514677599e+01 4.392536957230333550e-01
-3.819718634205488428e+01 4.410256026929997297e-01
-3.803803139896298546e+01 4.428181344558080879e-01
-3.787887645587109375e+01 4.446316201086915054e-01
-3.771972151277919494e+01 4.464663961653270730e-01
-3.756056656968730323e+01 4.483228067706743758e-01
-3.740141162659540441e+01 4.502012039176800928e-01
-3.724225668350351270e+01 4.521019476749297272e-01
-3.708310174041161389e+01 4.540254064197138395e-01
-3.692394679731972218e+01 4.559719570814778078e-01
-3.676479185422782336e+01 4.579419853925207895e-01
-3.660563691113593165e+01 4.599358861491198436e-01
-3.644648196804403284e+01 4.619540634792783096e-01
-3.628732702495214113e+01 4.639969311241730066e-01
-3.612817208186024232e+01 4.660649127263172820e-01
-3.596901713876835061e+01 4.681584421294607279e-01
-3.580986219567645179e+01 4.702779636901898153e-01
-3.565070725258456008e+01 4.724239326024097796e-01
-3.549155230949266127e+01 4.745968152272295182e-01
-3.533239736640076956e+01 4.767970894464101939e-01
-3.517324242330887074e+01 4.790252450185560340e-01
-3.501408748021697903e+01 4.812817839539745290e-01
-3.485493253712508022e+01 4.835672209069680760e-01
-3.469577759403318851e+01 4.858820835711007979e-01
-3.453662265094128969e+01 4.882269131095638981e-01
-3.437746770784939798e+01 4.906022645806834004e-01
-3.421831276475749917e+01 4.930087073964584121e-01
-3.405915782166560746e+01 4.954468257921189611e-01
-3.390000287857370864e+01 4.979172193139273506e-01
-3.374084793548180983e+01 5.004205033300793692e-01
-3.358169299238991812e+01 5.029573095601513888e-01
-3.342253804929801930e+01 5.055282866250802032e-01
-3.326338310620612759e+01 5.081341006223881740e-01
-3.310422816311422878e+01 5.107754357232725528e-01
-3.294507322002233707e+01 5.134529947947209516e-01
-3.278591827693043825e+01 5.161675000477733422e-01
-3.262676333383854654e+01 5.189196937142716015e-01
-3.246760839074664773e+01 5.217103387497922240e-01
-3.230845344765475602e+01 5.245402195692044911e-01
-3.214929850456285720e+01 5.274101428126818369e-01
-3.199014356147096549e+01 5.303209381452632654e-01
-3.183098861837907023e+01 5.332734590903605021e-01
-3.167183367528717497e+01 5.362685839021511525e-01
-3.151267873219527971e+01 5.393072164741191665e-01
-3.135352378910338444e+01 5.423902872906178896e-01
-3.119436884601148918e+01 5.455187544189434856e-01
-3.103521390291959392e+01 5.486936045486897617e-01
-3.087605895982769866e+01 5.519158540769318888e-01
-3.071690401673580340e+01 5.551865502437025590e-01
-3.055774907364390458e+01 5.585067723215453306e-01
-3.039859413055200932e+01 5.618776328589426550e-01
-3.023943918746011406e+01 5.653002789833464492e-01
-3.008028424436821879e+01 5.687758937665350345e-01
-2.992112930127632353e+01 5.723056976539724339e-01
-2.976197435818442827e+01 5.758909499654506492e-01
-2.960281941509253301e+01 5.795329504664180620e-01
-2.944366447200063774e+01 5.832330410190893488e-01
-2.928450952890874248e+01 5.869926073123635790e-01
-2.912535458581684722e+01 5.908130806805130808e-01
-2.896619964272495196e+01 5.946959400141269558e-01
-2.880704469963305669e+01 5.986427137635851325e-01
-2.864788975654116143e+01 6.026549820519875311e-01
-2.848873481344926617e+01 6.067343788911203628e-01
-2.832957987035737091e+01 6.108825945163232074e-01
-2.817042492726547565e+01 6.151013778439541335e-01
-2.801126998417358038e+01 6.193925390577050827e-01
-2.785211504108168512e+01 6.237579523345907484e-01
-2.769296009798978986e+01 6.281995587188167196e-01
-2.753380515489789460e+01 6.327193691509019891e-01
-2.737465021180599933e+01 6.373194676627843558e-01
-2.721549526871410407e+01 6.420020147550489220e-01
-2.705634032562220881e+01 6.467692509563300884e-01
-2.689718538253031355e+01 6.516235005880998132e-01
-2.673803043943841828e+01 6.565671757485423976e-01
-2.657887549634652302e+01 6.616027805178702481e-01
-2.641972055325462776e+01 6.667329154122885182e-01
-2.626056561016273250e+01 6.719602821025558725e-01
-2.610141066707083723e+01 6.772876884091888483e-01
-2.594225572397894197e+01 6.827180535981955956e-01
-2.578310078088704671e+01 6.882544139993552745e-01
-2.562394583779515145e+01 6.938999289652991731e-01
-2.546479089470325619e+01 6.996578872014692640e-01
-2.530563595161136092e+01 7.055317134925288558e-01
-2.514648100851946566e+01 7.115249758501673849e-01
-2.498732606542757040e+01 7.176413931189533635e-01
-2.482817112233567514e+01 7.238848430751346763e-01
-2.466901617924377987e+01 7.302593710480876910e-01
-2.450986123615188461e+01 7.367691991148940245e-01
-2.435070629305998935e+01 7.434187359068925582e-01
-2.419155134996809409e+01 7.502125870745733893e-01
-2.403239640687619882e+01 7.571555664694027410e-01
-2.387324146378430356e+01 7.642527080941898809e-01
-2.371408652069240475e+01 7.715092788879146513e-01
-2.355493157760050948e+01 7.789307924141029016e-01
-2.339577663450861422e+01 7.865230235229943023e-01
-2.323662169141671896e+01 7.942920240781174979e-01
-2.307746674832482370e+01 8.022441398313764349e-01
-2.291831180523292844e+01 8.103860285447688216e-01
-2.275915686214103317e+01 8.187246794759561741e-01
-2.260000191904913791e+01 8.272674343434679445e-01
-2.244084697595724265e+01 8.360220098916736342e-01
-2.228169203286534739e+01 8.449965222387533226e-01
-2.212253708977345212e+01 8.541995131155314391e-01
-2.196338214668155686e+01 8.636399782317907281e-01
-2.180422720358966160e+01 8.733273979152998967e-01
-2.164507226049776634e+01 8.832717702890119371e-01
-2.148591731740587107e+01 8.934836472002325447e-01
-2.132676237431397581e+01 9.039741731867084740e-01
-2.116760743122208055e+01 9.147551277833038119e-01
-2.100845248813018529e+01 9.258389715014919696e-01
-2.084929754503829002e+01 9.372388958671759029e-01
-2.069014260194639476e+01 9.489688779338401048e-01
-2.053098765885449950e+01 9.610437397494220324e-01
-2.037183271576260424e+01 9.734792133062930564e-01
-2.021267777267070898e+01 9.862920115788390563e-01
-2.005352282957881371e+01 9.994999063167450126e-01
-1.989436788648691845e+01 1.013121813363455637e+00
-1.973521294339502319e+01 1.027177886356531289e+00
-1.957605800030312793e+01 1.041689619789061050e+00
-1.941690305721123266e+01 1.056679962542666606e+00
-1.925774811411933740e+01 1.072173443148915384e+00
-1.909859317102744214e+01 1.088196308224181452e+00
-1.893943822793554688e+01 1.104776675718823098e+00
-1.878028328484365161e+01 1.121944704857652297e+00
-1.862112834175175635e+01 1.139732784946194899e+00
-1.846197339865986109e+01 1.158175745518817079e+00
-1.830281845556796583e+01 1.177311090687492845e+00
-1.814366351247607057e+01 1.197179261043837206e+00
-1.798450856938417530e+01 1.217823926910333698e+00
-1.782535362629228004e+01 1.239292317471430982e+00
-1.766619868320038478e+01 1.261635590944119034e+00
-1.750704374010848952e+01 1.284909251943401554e+00
-1.734788879701659425e+01 1.309173623175878376e+00
-1.718873385392469899e+01 1.334494379902073646e+00
-1.702957891083280373e+01 1.360943157137919135e+00
-1.687042396774090491e+01 1.388598241404237710e+00
-1.671126902464900965e+01 1.417545361078726085e+00
-1.655211408155711439e+01 1.447878592153405863e+00
-1.639295913846521913e+01 1.479701399538154272e+00
-1.623380419537332386e+01 1.513127838169952000e+00
-1.607464925228142860e+01 1.548283943302114052e+00
-1.591549430918953512e+01 1.585309345652591295e+00
-1.575633936609763985e+01 1.624359155014784672e+00
-1.559718442300574459e+01 1.665606165869558009e+00
-1.543802947991384933e+01 1.709243451087727017e+00
-1.527887453682195229e+01 1.755487425791241396e+00
-1.511971959373005703e+01 1.804581483885575599e+00
-1.496056465063816177e+01 1.856800336149211361e+00
-1.480140970754626650e+01 1.912455213008318999e+00
-1.464225476445437124e+01 1.971900139959710252e+00
-1.448309982136247598e+01 2.035539552823334652e+00
-1.432394487827058072e+01 2.103837598833192768e+00
-1.416478993517868545e+01 2.177329575632497072e+00
-1.400563499208679019e+01 2.256636104285696387e+00
-1.384648004899489493e+01 2.342480830260424085e+00
-1.368732510590299967e+01 2.435712721234262190e+00
-1.352817016281110440e+01 2.537334417396930331e+00
-1.336901521971920914e+01 2.648538641709758501e+00
-1.320986027662731388e+01 2.770755476352179336e+00
-1.305070533353541862e+01 2.905714486661625795e+00
-1.289155039044352336e+01 3.055527433044740171e+00
-1.273239544735162809e+01 3.222799996125829569e+00
-1.257324050425973283e+01 3.410785125504585569e+00
-1.241408556116783757e+01 3.623597301161466611e+00
-1.225493061807594231e+01 3.866517936610092576e+00
-1.209577567498404704e+01 4.146440606034627052e+00
-1.193662073189215178e+01 4.472536950267233635e+00
-1.177746578880025474e+01 4.857282362699625544e+00
-1.161831084570835948e+01 5.318090678029542495e+00
-1.145915590261646422e+01 5.880026057429819097e+00
-1.130000095952456896e+01 6.580522377515738874e+00
-1.114084601643267369e+01 7.478087889293442814e+00
-1.098169107334077843e+01 8.669564473650050118e+00
