frequency, magnitude
-7.949789407440172795e+01 3.145774450610268336e-02
-7.933889828625292751e+01 3.145790005175939930e-02
-7.917990249810412706e+01 3.145836669635438537e-02
-7.902090670995532662e+01 3.145914446301781298e-02
-7.886191092180652618e+01 3.146023339030954574e-02
-7.870291513365771152e+01 3.146163353211505614e-02
-7.854391934550891108e+01 3.146334495781347163e-02
-7.838492355736011064e+01 3.146536775218412851e-02
-7.822592776921131019e+01 3.146770201550891377e-02
-7.806693198106250975e+01 3.147034786341209450e-02
-7.790793619291369509e+01 3.147330542701377853e-02
-7.774894040476489465e+01 3.147657485300853902e-02
-7.758994461661609421e+01 3.148015630350077532e-02
-7.743094882846729377e+01 3.148404995609761087e-02
-7.727195304031847911e+01 3.148825600409222575e-02
-7.711295725216967867e+01 3.149277465614606919e-02
-7.695396146402087822e+01 3.149760613663395159e-02
-7.679496567587207778e+01 3.150275068550150576e-02
-7.663596988772327734e+01 3.150820855841667684e-02
-7.647697409957446268e+01 3.151398002658997027e-02
-7.631797831142566224e+01 3.152006537702815164e-02
-7.615898252327686180e+01 3.152646491257822536e-02
-7.599998673512806135e+01 3.153317895160125117e-02
-7.584099094697926091e+01 3.154020782856289951e-02
-7.568199515883044626e+01 3.154755189360943651e-02
-7.552299937068164581e+01 3.155521151286474341e-02
-7.536400358253284537e+01 3.156318706848190714e-02
-7.520500779438404493e+01 3.157147895833144896e-02
-7.504601200623523027e+01 3.158008759658373354e-02
-7.488701621808642983e+01 3.158901341380766087e-02
-7.472802042993762939e+01 3.159825685595153699e-02
-7.456902464178882894e+01 3.160781838533249788e-02
-7.441002885364002850e+01 3.161769848120120352e-02
-7.425103306549121385e+01 3.162789763864050363e-02
-7.409203727734241340e+01 3.163841636896892739e-02
-7.393304148919361296e+01 3.164925520029994443e-02
-7.377404570104481252e+01 3.166041467708578111e-02
-7.361504991289601207e+01 3.167189536025082769e-02
-7.345605412474719742e+01 3.168369782759618974e-02
-7.329705833659839698e+01 3.169582267343867832e-02
-7.313806254844959653e+01 3.170827050897861987e-02
-7.297906676030079609e+01 3.172104196239235868e-02
-7.282007097215199565e+01 3.173413767847894917e-02
-7.266107518400318099e+01 3.174755831942377426e-02
-7.250207939585438055e+01 3.176130456424507836e-02
-7.234308360770558011e+01 3.177537710932599319e-02
-7.218408781955677966e+01 3.178977666826503234e-02
-7.202509203140796501e+01 3.180450397202151669e-02
-7.186609624325916457e+01 3.181955976911532424e-02
-7.170710045511036412e+01 3.183494482552338273e-02
