frequency, magnitude
-2.782426292604060691e+01 8.667051743335877356e-01
-2.766526713789180292e+01 8.760643475777480926e-01
-2.750627134974299892e+01 8.856725507500829986e-01
-2.734727556159419493e+01 8.955400159105025848e-01
-2.718827977344539448e+01 9.056775502947599366e-01
-2.702928398529659049e+01 9.160965774150546803e-01
-2.687028819714778649e+01 9.268091817384179754e-01
-2.671129240899898249e+01 9.378281573166603602e-01
-2.655229662085017850e+01 9.491670607672337834e-01
-2.639330083270137450e+01 9.608402690901464149e-01
-2.623430504455257406e+01 9.728630428127582608e-01
-2.607530925640377006e+01 9.852515950800687650e-01
-2.591631346825496607e+01 9.980231673198265430e-01
-2.575731768010616207e+01 1.011196112248213375e+00
-2.559832189195735808e+01 1.024789985051791641e+00
-2.543932610380855408e+01 1.038825643696631662e+00
-2.528033031565975008e+01 1.053325359461547039e+00
-2.512133452751094964e+01 1.068312938916812893e+00
-2.496233873936214565e+01 1.083813858770527050e+00
-2.480334295121334165e+01 1.099855415182282581e+00
-2.464434716306453765e+01 1.116466889394458484e+00
-2.448535137491573366e+01 1.133679731801154444e+00
-2.432635558676692966e+01 1.151527766890648286e+00
-2.416735979861812567e+01 1.170047421881461158e+00
-2.400836401046932522e+01 1.189277982304564718e+00
-2.384936822232052123e+01 1.209261878314554339e+00
-2.369037243417171723e+01 1.230045006138478447e+00
-2.353137664602291323e+01 1.251677089761188189e+00
-2.337238085787410924e+01 1.274212088923561748e+00
-2.321338506972530524e+01 1.297708660402607572e+00
-2.305438928157650125e+01 1.322230680964152860e+00
-2.289539349342770080e+01 1.347847841772233490e+00
-2.273639770527889681e+01 1.374636325935379988e+00
-2.257740191713009281e+01 1.402679583068998204e+00
-2.241840612898128882e+01 1.432069217485437473e+00
-2.225941034083248482e+01 1.462906009941083774e+00
-2.210041455268368082e+01 1.495301096979963829e+00
-2.194141876453488038e+01 1.529377336971660561e+00
-2.178242297638607639e+01 1.565270898270801903e+00
-2.162342718823727239e+01 1.603133112801369498e+00
-2.146443140008846839e+01 1.643132648302970678e+00
-2.130543561193966440e+01 1.685458065046913756e+00
-2.114643982379086040e+01 1.730320838811727047e+00
-2.098744403564205641e+01 1.777958952448373431e+00
-2.082844824749325596e+01 1.828641184820810617e+00
-2.066945245934445197e+01 1.882672260417799670e+00
-2.051045667119564797e+01 1.940399068063818122e+00
-2.035146088304684397e+01 2.002218217005644174e+00
-2.019246509489803998e+01 2.068585278350592027e+00
-2.003346930674923598e+01 2.140026167396531953e+00
-1.987447351860043199e+01 2.217151268680654930e+00
-1.971547773045163154e+01 2.300673107077238377e+00
-1.955648194230282755e+01 2.391428648888924258e+00
-1.939748615415402355e+01 2.490407712832761966e+00
-1.923849036600521956e+01 2.598789537331655630e+00
-1.907949457785641556e+01 2.717990373150440675e+00
-1.892049878970761156e+01 2.849726184878958346e+00
-1.876150300155880757e+01 2.996096369771498846e+00
-1.860250721341000713e+01 3.159697199408299184e+00
-1.844351142526120313e+01 3.343778069784057116e+00
-1.828451563711239913e+01 3.552460671300451178e+00
-1.812551984896359514e+01 3.791052765163604565e+00
-1.796652406081479114e+01 4.066507903403921986e+00
-1.780752827266598715e+01 4.388116942427147116e+00
-1.764853248451718670e+01 4.768580209678626503e+00
-1.748953669636838271e+01 5.225729474838378685e+00
-1.733054090821957871e+01 5.785410813469668234e+00
-1.717154512007077471e+01 6.486557015075988808e+00
-1.701254933192197072e+01 7.390670844690854224e+00
-1.685355354377316672e+01 8.600952462869654980e+00
-1.669455775562436273e+01 1.030484865466665667e+01
-1.653556196747556228e+01 1.288206409097027461e+01
-1.637656617932675829e+01 1.723605187875395472e+01
-1.621757039117795429e+01 2.617237152847685167e+01
-1.605857460302915030e+01 5.496712217854888394e+01
-1.589957881488034630e+01 4.915365116499029341e+02
-1.574058302673154408e+01 4.448566812311789676e+01
-1.558158723858274008e+01 2.317621522459139172e+01
-1.542259145043393609e+01 1.561364663626652494e+01
-1.526359566228513387e+01 1.173950254346708277e+01
-1.510459987413632987e+01 9.384156228761126428e+00
-1.494560408598752588e+01 7.800663540092692472e+00
-1.478660829783872188e+01 6.662887882297401809e+00
-1.462761250968991966e+01 5.805745673301674792e+00
-1.446861672154111567e+01 5.136716648504436655e+00
-1.430962093339231167e+01 4.599921780110625136e+00
-1.415062514524350945e+01 4.159618362193424623e+00
-1.399162935709470545e+01 3.791879283327933781e+00
-1.383263356894590146e+01 3.480083290211584579e+00
-1.367363778079709746e+01 3.212324274362731824e+00
-1.351464199264829524e+01 2.979849974438477656e+00
-1.335564620449949125e+01 2.776082524951178243e+00
-1.319665041635068725e+01 2.595982670035395845e+00
-1.303765462820188503e+01 2.435624733862018054e+00
-1.287865884005308104e+01 2.291905107451991164e+00
-1.271966305190427704e+01 2.162337753864151946e+00
-1.256066726375547482e+01 2.044907863239941115e+00
-1.240167147560667082e+01 1.937965239283834684e+00
-1.224267568745786683e+01 1.840145377391116943e+00
-1.208367989930906283e+01 1.750310191248183767e+00
-1.192468411116026061e+01 1.667502908265687589e+00
-1.176568832301145662e+01 1.590913333781104111e+00
-1.160669253486265262e+01 1.519850805780016412e+00
-1.144769674671385040e+01 1.453722924325631771e+00
-1.128870095856504641e+01 1.392018666613074940e+00
-1.112970517041624241e+01 1.334294867735033252e+00
-1.097070938226744019e+01 1.280165309592021350e+00
-1.081171359411863619e+01 1.229291849210151888e+00
-1.065271780596983220e+01 1.181377155152164793e+00
-1.049372201782102820e+01 1.136158721933302695e+00
-1.033472622967222598e+01 1.093403907549894916e+00
-1.017573044152342199e+01 1.052905795741316153e+00
-1.001673465337461799e+01 1.014479727374239859e+00
-9.857738865225815772e+00 9.779603780022505521e-01
-9.698743077077011776e+00 9.431992838297688087e-01
-9.539747288928207780e+00 9.100627377951572283e-01
-9.380751500779403784e+00 8.784299927356207238e-01
-9.221755712630601565e+00 8.481917205706498430e-01
-9.062759924481797569e+00 8.192486859257127607e-01
