frequency, magnitude
-7.949789407440172795e+01 3.144747757513726913e-03
-7.933889828625292751e+01 3.144763276592861968e-03
-7.917990249810412706e+01 3.144809834595879098e-03
-7.902090670995532662e+01 3.144887433819562161e-03
-7.886191092180652618e+01 3.144996078094992875e-03
-7.870291513365771152e+01 3.145135772783976425e-03
-7.854391934550891108e+01 3.145306524783546970e-03
-7.838492355736011064e+01 3.145508342520297700e-03
-7.822592776921131019e+01 3.145741235960561929e-03
-7.806693198106250975e+01 3.146005216605834293e-03
-7.790793619291369509e+01 3.146300297499104223e-03
-7.774894040476489465e+01 3.146626493203037462e-03
-7.758994461661609421e+01 3.146983819858459666e-03
-7.743094882846729377e+01 3.147372295119597006e-03
-7.727195304031847911e+01 3.147791938177331005e-03
-7.711295725216967867e+01 3.148242769803024158e-03
-7.695396146402087822e+01 3.148724812297012954e-03
-7.679496567587207778e+01 3.149238089520247936e-03
-7.663596988772327734e+01 3.149782626872407558e-03
-7.647697409957446268e+01 3.150358451320279998e-03
-7.631797831142566224e+01 3.150965591439259909e-03
-7.615898252327686180e+01 3.151604077283343911e-03
-7.599998673512806135e+01 3.152273940527007545e-03
-7.584099094697926091e+01 3.152975214420928197e-03
-7.568199515883044626e+01 3.153707933773101761e-03
-7.552299937068164581e+01 3.154472134985149973e-03
-7.536400358253284537e+01 3.155267856037224840e-03
-7.520500779438404493e+01 3.156095136504986388e-03
-7.504601200623523027e+01 3.156954017549471869e-03
-7.488701621808642983e+01 3.157844541947636436e-03
-7.472802042993762939e+01 3.158766754074727925e-03
-7.456902464178882894e+01 3.159720699895356491e-03
-7.441002885364002850e+01 3.160706427033481598e-03
-7.425103306549121385e+01 3.161723984686669407e-03
-7.409203727734241340e+01 3.162773423719989450e-03
-7.393304148919361296e+01 3.163854796625575200e-03
-7.377404570104481252e+01 3.164968157491219059e-03
-7.361504991289601207e+01 3.166113562125305852e-03
-7.345605412474719742e+01 3.167291067958069323e-03
-7.329705833659839698e+01 3.168500734056504259e-03
-7.313806254844959653e+01 3.169742621174813108e-03
-7.297906676030079609e+01 3.171016791762641587e-03
-7.282007097215199565e+01 3.172323309898983108e-03
-7.266107518400318099e+01 3.173662241415046645e-03
-7.250207939585438055e+01 3.175033653838479301e-03
